City,FAA,IATA,ICAO,Airport,Role,Enplanements
Jamestown,JMS,JMS,KJMS,Jamestown Regional Airport,P-N,11_768
Minot,MOT,MOT,KMOT,Minot International Airport,P-N,149_865
Williston,XWA,XWA,KXWA,Williston Basin International Airport,P-N,75_332
OHIO,,,,,,
Akron / Canton,CAK,CAK,KCAK,Akron-Canton Regional Airport,P-N,449_731
Cleveland,CLE,CLE,KCLE,Cleveland Hopkins International Airport,P-M,4_701_713
Columbus,CMH,CMH,KCMH,John Glenn Columbus International Airport,P-M,3_976_620
Columbus,LCK,LCK,KLCK,Rickenbacker International Airport,P-N,154_475
Dayton,DAY,DAY,KDAY,James M. Cox Dayton International Airport,P-S,858_022
Toledo,TOL,TOL,KTOL,Eugene F. Kranz Toledo Express Airport,P-N,123_541
OKLAHOMA,,,,,,
Lawton,LAW,LAW,KLAW,Lawton-Fort Sill Regional Airport,P-N,48_086
Oklahoma City,OKC,OKC,KOKC,Will Rogers World Airport,P-S,2_094_708
Stillwater,SWO,SWO,KSWO,Stillwater Regional Airport,P-N,27_321
Tulsa,TUL,TUL,KTUL,Tulsa International Airport,P-S,1_482_908
OREGON,,,,,,
Eugene,EUG,EUG,KEUG,Mahlon Sweet Field,P-S,566_832
Medford,MFR,MFR,KMFR,Rogue Valley International-Medford Airport,P-S,492_217
North Bend,OTH,OTH,KOTH,Southwest Oregon Regional Airport (was North Bend Municipal),P-N,12_369
Portland,PDX,PDX,KPDX,Portland International Airport,P-M,9_804_868
Redmond,RDM,RDM,KRDM,Roberts Field,P-S,430_562
PENNSYLVANIA,,,,,,
Allentown,ABE,ABE,KABE,Lehigh Valley International Airport (was Allentown-Bethlehem-Easton International Airport),P-S,376_468
Erie,ERI,ERI,KERI,Erie International Airport (Tom Ridge Field),P-N,95_342
Harrisburg,MDT,MDT,KMDT,Harrisburg International Airport,P-S,636_756
Latrobe,LBE,LBE,KLBE,Arnold Palmer Regional Airport,P-N,151_410
Philadelphia,PHL,PHL,KPHL,Philadelphia International Airport,P-L,15_292_670
Pittsburgh,PIT,PIT,KPIT,Pittsburgh International Airport,P-M,4_670_033
State College,UNV,SCE,KUNV,University Park Airport,P-N,153_571
Wilkes-Barre / Scranton,AVP,AVP,KAVP,Wilkes-Barre/Scranton International Airport,P-N,258_628
RHODE ISLAND,,,,,,
Block Island,BID,BID,KBID,Block Island State Airport,P-N,16_809
Providence,PVD,PVD,KPVD,Rhode Island T. F. Green International Airport,P-S,2_117_409
Westerly,WST,WST,KWST,Westerly State Airport,P-N,17_694
SOUTH CAROLINA,,,,,,
Charleston,CHS,CHS,KCHS,Charleston International Airport / Charleston AFB,P-M,2_192_893
Columbia,CAE,CAE,KCAE,Columbia Metropolitan Airport,P-S,566_660
Florence,FLO,FLO,KFLO,Florence Regional Airport,P-N,44_333
Greenville,GSP,GSP,KGSP,Greenville-Spartanburg International Airport (Roger Milliken Field),P-S,1_133_012
Hilton Head,HXD,HHH,KHXD,Hilton Head Airport,P-N,36_308
Myrtle Beach,MYR,MYR,KMYR,Myrtle Beach International Airport,P-S,1_254_307
SOUTH DAKOTA,,,,,,
Aberdeen,ABR,ABR,KABR,Aberdeen Regional Airport,P-N,28_404
Pierre,PIR,PIR,KPIR,Pierre Regional Airport,P-N,30_124
Rapid City,RAP,RAP,KRAP,Rapid City Regional Airport,P-S,303_471
Sioux Falls,FSD,FSD,KFSD,Joe Foss Field,P-S,529_895
Watertown,ATY,ATY,KATY,Watertown Regional Airport,P-N,12_064
TENNESSEE,,,,,,
Chattanooga,CHA,CHA,KCHA,Lovell Field,P-S,504_833
Knoxville,TYS,TYS,KTYS,McGhee Tyson Airport,P-S,1_069_565
Memphis,MEM,MEM,KMEM,Memphis International Airport,P-M,2_213_083
Nashville,BNA,BNA,KBNA,Nashville International Airport (Berry Field),P-L,8_017_347
Tri-Cities,TRI,TRI,KTRI,Tri-Cities Airport,P-N,200_086
TEXAS,,,,,,
Abilene,ABI,ABI,KABI,Abilene Regional Airport,P-N,77_229
Amarillo,AMA,AMA,KAMA,Rick Husband Amarillo International Airport,P-N,355_705
Austin,AUS,AUS,KAUS,Austin-Bergstrom International Airport,P-L,7_714_479
Beaumont,BPT,BPT,KBPT,Jack Brooks Regional Airport (was Southeast Texas Regional),P-N,27_694
Brownsville,BRO,BRO,KBRO,Brownsville/South Padre Island International Airport,P-N,115_711
College Station,CLL,CLL,KCLL,Easterwood Field,P-N,79_309
Corpus Christi,CRP,CRP,KCRP,Corpus Christi International Airport,P-N,332_499
Dallas,DAL,DAL,KDAL,Dallas Love Field,P-M,8_011_221
Dallas,DFW,DFW,KDFW,Dallas Fort Worth International Airport,P-L,32_821_799
Del Rio,DRT,DRT,KDRT,Del Rio International Airport,P-N,2_712
El Paso,ELP,ELP,KELP,El Paso International Airport,P-S,1_605_486
Harlingen,HRL,HRL,KHRL,Valley International Airport,P-S,302_236
Houston,IAH,IAH,KIAH,George Bush Intercontinental/Houston Airport,P-L,21_157_398
Houston,HOU,HOU,KHOU,William P. Hobby Airport,P-M,7_053_886
